Total Vehicles,Avg Cost,Avg Mileage,Avg Age in Yrs
4789,15331.399874712884,72747.60492795991,7.966172478596785
442,33502.3371040724,14884.04298642534,2.755656108597285
14,90290.14285714286,18381.85714285714,5.0
14835,27389.00835861139,42427.61975058982,5.072665992585103
48,97086.4375,24838.708333333332,7.729166666666667
25344,31769.98717645202,40238.864228219696,4.951744002525253
12256,11757.59154699739,76508.16449086161,8.936765665796345
9401,19211.802148707586,58292.0599936177,7.272949686203595
55600,12284.002805755395,64418.32787769784,5.892410071942446
14695,14518.779312691391,59899.79918339571,6.0653283429738005
13473,15799.045349959177,64977.85600831292,6.204854152749944
7,36787.142857142855,17574.571428571428,8.0
50403,12480.084002936333,60431.27167033708,5.788088010634287
693,37072.29725829726,18132.131313131315,2.3607503607503606
31342,13794.483983153596,62994.81788016081,6.636845127943335
41446,12849.447329054674,56398.30263475366,5.444361337644163
5,29125.8,18145.2,4.0
4345,17540.389413118526,64816.15489067894,7.15258918296893
2414,28224.878210439107,40441.57249378625,6.111019055509527
18535,13128.865335851093,51155.92613973564,4.984299973024009
9518,21412.583105694473,64047.281151502415,7.4429501996217695
9795,19138.51434405309,51084.24359367024,6.024196018376723
930,43156.383870967744,25604.30752688172,4.49247311827957
13343,13258.810537360414,60043.8440380724,6.031776961702765
19599,30408.19694882392,37773.086535027294,4.984284912495536
1824,5263.421052631579,108541.96217105263,14.19188596491228
2204,11134.320780399274,79083.92513611616,8.131125226860254
45010,13330.170784270162,54027.58435903132,5.137547211730727
5,9407.4,52281.4,27.8
2,10991.0,94195.0,10.0
326,3961.3006134969323,142683.7147239264,19.828220858895705
10,1725.0,164388.6,23.0
3258,5152.345303867403,137529.8729281768,13.94413750767342
590,57239.977966101695,37170.715254237286,5.133898305084746
14,154603.2142857143,16153.07142857143,7.357142857142857
209,5497.363636363636,114772.28708133972,13.090909090909092
1253,4244.47645650439,119718.29848363927,14.449321628092578
11654,18899.283936845717,42441.794062124594,4.589153938561867
96,5263.0625,89629.05208333333,11.614583333333334
21,45221.71428571428,8487.380952380952,1.9047619047619047
45209,13314.476188369572,67085.61474485169,6.664867614855449
35158,12044.692417088572,55452.30837931623,6.139598384435975
4768,20597.18225671141,49074.29530201342,5.880872483221476
