,Model Year,Make,Model,Base MSRP
1,2019,KIA,NIRO ELECTRIC,38500
3,2019,CHEVROLET,BOLT,36620
4,2015,NISSAN,LEAF,29010
5,2015,FORD,C-MAX ENERGI,31770
6,2017,CHEVROLET,BOLT,37495
8,2019,NISSAN,LEAF,29990
9,2013,NISSAN,LEAF,28800
11,2018,BMW,I3S,44450
13,2019,CHRYSLER,PACIFICA HYBRID,39995
15,2018,TESLA,MODEL 3,36000
17,2014,NISSAN,LEAF,28980
19,2016,TESLA,MODEL X,74000
23,2017,NISSAN,LEAF,30680
24,2018,CHEVROLET,VOLT,34095
26,2016,FORD,FUSION ENERGI,33900
27,2011,NISSAN,LEAF,32780
28,2016,HYUNDAI,SONATA PLUG-IN HYBRID,34600
29,2013,TOYOTA,PRIUS,32000
30,2018,BMW,X5 XDRIVE40E,63750
32,2016,NISSAN,LEAF,29010
33,2015,CHEVROLET,VOLT,34170
34,2019,TESLA,MODEL 3,35000
35,2013,TESLA,MODEL S,69900
39,2015,TESLA,MODEL S,69900
40,2012,NISSAN,LEAF,35200
45,2016,TESLA,MODEL S,66000
47,2017,BMW,X5 XDRIVE40E,63200
49,2017,CHEVROLET,VOLT,33220
51,2017,TOYOTA,PRIUS PRIME,27100
54,2013,CHEVROLET,VOLT,39145
59,2014,CHEVROLET,VOLT,34185
60,2018,TESLA,MODEL X,79500
63,2012,TESLA,MODEL S,59900
66,2014,TESLA,MODEL S,69900
71,2016,AUDI,A3 E-TRON,37900
79,2015,FORD,FUSION ENERGI,34800
81,2016,MERCEDES-BENZ,B250E,41450
92,2013,FORD,C-MAX ENERGI,31665
94,2018,NISSAN,LEAF,29990
95,2019,KIA,NIRO PLUG-IN HYBRID,28500
98,2015,VOLKSWAGEN,E-GOLF,33450
101,2017,TESLA,MODEL S,68000
103,2017,BMW,I3,42400
105,2016,BMW,X5 XDRIVE40E,62100
107,2016,CHEVROLET,VOLT,33170
108,2017,TESLA,MODEL X,82500
126,2019,FORD,FUSION ENERGI PLUG-IN HYBRID,34595
137,2016,VOLKSWAGEN,E-GOLF,28995
138,2013,FORD,FUSION ENERGI,38700
140,2019,AUDI,E-TRON,74800
156,2015,BMW,I3,42400
173,2019,TOYOTA,PRIUS PRIME,27350
184,2019,TESLA,MODEL X,88000
195,2018,HONDA,CLARITY,33400
207,2018,TESLA,MODEL S,74500
210,2019,BMW,I3 WITH RANGE EXTENDER,44450
224,2015,CHEVROLET,SPARK,25170
225,2017,FORD,FUSION ENERGI,33120
228,2016,CHEVROLET,SPARK,25120
237,2014,BMW,I3,41350
244,2017,FORD,C-MAX ENERGI,27120
274,2017,AUDI,A3 E-TRON,38900
275,2012,TOYOTA,PRIUS,32000
294,2017,HYUNDAI,SONATA,34600
312,2018,TOYOTA,PRIUS PRIME,27300
313,2014,TOYOTA,PRIUS,29990
322,2014,FORD,FUSION ENERGI,34700
330,2014,FORD,C-MAX ENERGI,31635
372,2018,CHEVROLET,BOLT,37495
373,2019,MERCEDES-BENZ,GLC350E 4MATIC,50650
377,2016,FORD,C-MAX ENERGI,31770
380,2019,BMW,I3,44450
391,2019,TESLA,MODEL S,79000
404,2018,FORD,FUSION ENERGI,33400
426,2019,BMW,I3S,44450
431,2017,MERCEDES-BENZ,B250E,40895
452,2012,CHEVROLET,VOLT,39145
463,2018,AUDI,A3 E-TRON,39500
489,2014,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,25000
495,2014,MERCEDES-BENZ,B-CLASS ELECTRIC DRIVE,41450
503,2017,BMW,330E,44100
511,2018,KIA,NIRO,27900
522,2016,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,25000
581,2018,MITSUBISHI,OUTLANDER,34595
689,2018,CHRYSLER,PACIFICA,39995
712,2017,KIA,SOUL,32250
720,2014,CHEVROLET,SPARK,26685
728,2019,CHEVROLET,VOLT,33520
734,2011,CHEVROLET,VOLT,41000
758,2017,KIA,OPTIMA,35210
767,2016,KIA,SOUL,31950
794,2019,HYUNDAI,KONA ELECTRIC,36950
897,2016,HYUNDAI,SONATA,34600
942,2019,KIA,OPTIMA PLUG-IN HYBRID,35390
950,2019,BMW,530E,53400
972,2019,MITSUBISHI,OUTLANDER PHEV,35795
975,2018,BMW,740E XDRIVE,90700
985,2012,FISKER,KARMA,102000
997,2019,BMW,I3S WITH RANGE EXTENDER,44450
1071,2020,KIA,OPTIMA,36090
1088,2018,BMW,330E,45600
1093,2017,VOLKSWAGEN,E-GOLF,30495
1114,2018,KIA,OPTIMA,35210
1208,2015,TOYOTA,PRIUS,29990
1230,2019,HONDA,CLARITY,33400
1297,2016,BMW,I3,42400
1504,2018,BMW,I3S WITH RANGE EXTENDER,44450
1757,2016,BMW,330E,43700
1980,2015,MERCEDES-BENZ,B-CLASS ELECTRIC DRIVE,41450
2193,2013,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,25000
3300,2015,MERCEDES-BENZ,S550E,94400
3391,2018,BMW,530E,52650
3574,2015,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,25000
3930,2017,CHRYSLER,PACIFICA,41995
4631,2017,TESLA,MODEL 3,35000
5117,2016,MERCEDES-BENZ,S550E,95650
5276,2018,VOLKSWAGEN,E-GOLF,30495
5551,2017,BMW,740E XDRIVE,89100
7112,2018,MERCEDES-BENZ,GLC350E,49990
7839,2019,BMW,740E XDRIVE,91250
11215,2018,KIA,SOUL,33950
23242,2014,FORD,FOCUS,29170
23253,2015,FIAT,500E,31800
23256,2019,JAGUAR,I-PACE,69500
23303,2015,BMW,I8 COUPE,136500
23305,2016,PORSCHE,CAYENNE,77200
23308,2013,FORD,FOCUS,39200
23312,2016,FIAT,500E,31800
23324,2015,KIA,SOUL,33700
23341,2019,BMW,I8 COUPE,147500
23344,2018,VOLVO,XC60 AWD,52900
23351,2014,SMART,SMART FORTWO ELECTRIC DRIVE CABRIOLET,28000
23380,2018,PORSCHE,PANAMERA,99600
23384,2012,MITSUBISHI,I-MIEV,29125
23397,2013,TOYOTA,RAV4,49800
23399,2019,VOLVO,XC90 AWD PHEV,66300
23404,2019,SUBARU,CROSSTREK HYBRID AWD,34995
23409,2017,PORSCHE,CAYENNE,78700
23421,2015,PORSCHE,CAYENNE,76400
23456,2018,BMW,I3 WITH RANGE EXTENDER,44450
23489,2015,FORD,FOCUS,29170
23561,2018,VOLVO,XC90 AWD,64950
23640,2014,PORSCHE,PANAMERA,99000
23654,2017,FORD,FOCUS,29120
23706,2017,FIAT,500E,32995
23713,2019,VOLVO,XC60 AWD PHEV,52900
23735,2019,MINI,COOPER SE COUNTRYMAN ALL4,36900
23835,2016,MITSUBISHI,I-MIEV,22995
23841,2017,HYUNDAI,IONIQ ELECTRIC,29500
23847,2013,FIAT,500E,31800
23891,2018,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,23900
23903,2014,BMW,I8 COUPE,135700
23973,2018,MINI,COOPER SE COUNTRYMAN ALL4,36800
23992,2014,TOYOTA,RAV4,49800
24042,2015,PORSCHE,PANAMERA,99000
24291,2017,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,23800
24316,2010,TESLA,ROADSTER,110950
24454,2012,TOYOTA,RAV4 EV 2WD,49800
24473,2018,BMW,I3,44450
24481,2018,PORSCHE,CAYENNE,79900
24514,2019,BMW,I8 ROADSTER,163300
24595,2014,FIAT,500E,31800
24668,2011,TESLA,ROADSTER,109000
24809,2017,VOLVO,XC90 AWD,67800
24936,2018,MERCEDES-BENZ,C350E,47900
25015,2016,BMW,I8 COUPE,140700
25087,2017,MERCEDES-BENZ,GLE550E,66300
25120,2018,PORSCHE,PANAMERA,184400
25483,2016,FORD,FOCUS,29170
25529,2011,AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC VAN,57400
25719,2012,FORD,FOCUS,39200
25925,2017,BMW,I8 COUPE,143400
26223,2014,HONDA,ACCORD,39780
26468,2018,MERCEDES-BENZ,GLE550E,66700
27250,2012,AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC VAN,57400
27794,2018,FORD,FOCUS,29120
29271,2014,MITSUBISHI,I-MIEV,22995
29347,2016,PORSCHE,PANAMERA,96100
30160,2016,VOLVO,XC90 AWD,68100
31387,2018,SMART,SMART FORTWO ELECTRIC DRIVE CABRIOLET,23900
31741,2011,WHEEGO ELECTRIC CARS,LIFE,32995
32816,2019,FORD,FUSION SPECIAL SERVICE VEHICLE PHEV,34595
33489,2019,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,23900
33594,2016,MERCEDES-BENZ,GLE550E,65550
34648,2017,MERCEDES-BENZ,C350E,46400
40908,2015,PORSCHE,918 SPYDER,845000
44024,2016,MERCEDES-BENZ,C350E,45490
44122,2017,MITSUBISHI,I-MIEV,22995
46144,2013,SMART,SMART FORTWO ELECTRIC DRIVE CABRIOLET,28000
46430,2019,BMW,530E XDRIVE,55700
46649,2014,CADILLAC,ELR COUPE,75000
46707,2017,CADILLAC,CT6,75095
46770,2019,HYUNDAI,IONIQ PLUG-IN HYBRID,25350
46796,2018,BMW,530E XDRIVE,54950
46902,2018,VOLVO,S90 AWD PHEV,63650
47171,2008,TESLA,ROADSTER,98950
47272,2019,HYUNDAI,IONIQ,25350
47299,2016,CADILLAC,ELR COUPE,65000
47851,2019,HYUNDAI,IONIQ,30315
48324,2018,CADILLAC,CT6,75095
48544,2018,HYUNDAI,IONIQ PLUG-IN HYBRID,24950
50184,2018,FIAT,500,32995
51593,2017,HONDA,CLARITY EV,37510
53910,2012,TOYOTA,PRIUS PLUG-IN HYBRID,32000
